10000 100000
1 565 56
1 1015 26
1 1779 42
1 2117 34
1 2250 2
1 3555 69
1 6474 38
1 8939 42
1 8997 48
2 1384 34
2 3117 2
2 4877 19
2 5549 61
2 5862 5
2 7269 5
3 171 43
3 181 25
3 1341 48
3 1676 26
3 3050 43
3 3428 57
3 4325 23
3 7653 61
3 8305 61
4 483 25
4 692 13
4 1233 13
4 1417 43
4 4484 3
4 4965 11
4 6714 14
4 8472 59
4 8801 7
4 8930 27
4 9161 23
4 9226 8
5 617 26
5 1949 60
5 2214 21
5 2311 44
5 2620 65
5 3210 62
5 4506 62
5 4925 27
5 5836 66
5 6500 38
5 6819 69
5 9180 21
6 343 56
6 690 66
6 1276 64
6 1558 44
6 2984 59
6 3357 26
6 4354 6
6 5064 14
6 6579 38
6 6792 58
6 8901 57
6 9732 41
6 9999 68
7 1989 1
7 4379 30
7 5290 6
7 5955 27
7 6598 23
7 7393 53
8 1333 23
8 1388 14
8 1437 44
8 2198 67
8 3677 9
8 4257 36
8 6652 30
8 7771 35
8 8007 32
8 8407 67
8 8677 5
8 9143 53
9 108 54
9 637 41
9 789 18
9 2266 68
9 3607 30
9 5252 43
9 5380 44
9 5451 44
9 7381 51
9 7828 32
9 7943 2
9 8095 22
9 8994 31
10 10 2
10 1378 22
10 2150 7
10 2921 69
10 3010 45
10 4997 59
10 5582 22
10 8145 29
10 9259 5
11 734 59
11 1726 8
11 1921 40
11 2188 20
11 2296 13
11 2354 3
11 3928 57
11 4023 57
11 4265 26
11 5179 41
11 7202 29
11 7400 14
11 7509 10
11 7547 29
11 8995 27
12 1573 53
12 6271 43
12 6427 8
12 6733 16
12 7395 44
12 9851 1
13 432 17
13 1392 17
13 2621 62
13 3150 63
13 4787 16
13 6846 8
13 6858 23
13 7677 8
13 8409 36
14 2049 27
14 2910 67
14 4456 43
14 4492 67
14 5036 57
14 5252 55
14 7928 69
14 8239 44
14 8984 43
15 311 65
15 800 56
15 1012 42
15 1766 9
15 3794 65
15 4786 41
15 6789 6
15 7115 20
15 7146 15
15 7842 13
15 9883 6
16 2408 29
16 2725 53
16 3039 22
16 3097 16
16 4236 17
16 5477 55
16 5504 31
16 5643 24
16 7051 8
16 9252 10
17 968 60
17 2910 35
17 4789 47
18 384 4
18 394 32
18 1576 34
18 3988 30
18 5781 2
18 5886 48
18 5944 43
18 5974 37
18 6758 34
18 6908 55
18 8694 16
18 9146 1
19 3357 26
19 4484 21
19 4658 20
19 5978 11
19 6764 4
19 7683 65
19 7717 40
19 8400 57
20 785 17
20 1187 26
20 1913 4
20 4076 2
20 6154 28
20 6836 67
20 7385 49
20 7504 37
20 8625 28
20 9015 14
20 9637 54
21 804 32
21 825 16
21 1878 58
21 2984 32
21 4233 57
21 5814 36
21 9050 5
22 152 24
22 393 41
22 790 59
22 904 39
22 1028 41
22 3976 55
22 3994 59
22 4096 31
22 4578 66
22 4754 63
22 5151 26
22 5510 7
22 5638 21
22 7570 13
22 7702 32
22 8669 64
22 9227 54
23 151 59
23 1414 61
23 3000 33
23 5212 66
23 5750 20
23 5856 18
23 6219 50
23 6444 22
23 6501 33
23 7893 38
23 8456 53
23 9047 21
23 9086 45
23 9249 57
24 306 15
24 929 16
24 2528 17
24 3160 54
24 3847 27
24 7503 2
24 9512 43
25 267 57
25 3018 38
25 3082 7
25 4161 53
25 5803 44
25 7892 27
25 8115 65
26 418 47
26 693 61
26 957 20
26 1020 36
26 1222 53
26 1490 23
26 2220 4
26 3116 3
26 3442 40
26 5593 53
26 7469 64
26 8225 4
26 9042 22
26 9091 47
27 191 64
27 2967 66
27 4671 5
27 5613 9
27 7441 52
27 7646 61
28 1031 33
28 3555 9
28 4177 33
28 5331 47
28 5714 65
28 6285 2
28 8002 53
28 8171 19
28 9090 16
28 9791 51
28 9858 54
29 2687 62
29 2924 42
29 3891 4
29 4301 69
29 4663 65
29 4933 26
29 5721 3
29 6268 38
29 6368 37
29 6936 26
29 7351 32
30 302 11
30 4614 18
30 4709 9
30 5584 5
30 5677 14
30 9012 53
31 426 53
31 1469 36
31 1831 44
31 2395 17
31 2420 44
31 2488 8
31 2924 63
31 3094 10
31 3825 49
31 5846 17
31 7569 28
31 7751 64
32 1342 67
32 1632 12
32 2583 28
32 4385 11
32 5148 55
32 5325 67
32 5588 6
32 5716 12
32 6019 40
32 6499 44
32 7962 48
32 8935 65
32 9207 6
33 557 58
33 2093 14
33 2966 55
33 3050 33
33 3400 67
33 5427 38
33 6538 56
33 8145 34
33 9231 13
33 9435 3
34 1604 8
34 2351 60
34 2403 36
34 2796 58
34 2868 39
34 3448 24
34 3463 16
34 4074 33
34 4084 21
34 4128 28
34 4555 31
34 4875 2
34 5210 13
34 5358 28
34 5887 8
34 6168 64
34 6986 67
34 7983 22
34 8328 13
34 8683 34
34 9795 27
35 1413 41
35 2271 47
35 2650 12
35 3495 4
35 3871 44
35 4143 21
35 4804 60
35 4955 48
35 6184 4
35 7085 33
35 7182 27
35 8653 63
36 352 40
36 867 15
36 2427 32
36 2588 63
36 3594 30
36 3914 35
36 7831 54
36 9148 28
36 9176 66
37 3431 56
37 6250 12
37 8818 64
37 9146 34
38 209 46
38 1447 33
38 1462 55
38 1579 59
38 2504 66
38 2939 12
38 3092 30
38 3588 43
38 4037 64
38 4296 5
38 4617 57
38 5868 55
38 7502 35
38 7519 36
38 7595 58
38 8327 38
38 8506 62
38 9541 22
39 1603 8
39 3848 7
39 4657 53
39 4873 41
39 5144 7
39 5277 58
39 6351 26
39 6748 35
39 7132 25
39 7229 52
39 7553 46
39 8896 20
40 1625 16
40 1810 62
40 3419 52
40 3441 1
40 5467 51
40 5718 19
40 7074 52
40 7136 52
41 17 61
41 418 17
41 825 56
41 1698 19
41 2185 42
41 2614 61
41 3637 54
41 5132 30
41 5324 29
41 6106 17
41 6710 51
41 7177 8
42 476 23
42 785 5
42 2728 19
42 3983 30
42 6090 63
42 6340 44
42 6486 35
42 7597 18
42 7661 66
42 8082 51
42 9952 8
43 449 12
43 890 43
43 1902 30
43 2101 52
43 2520 65
43 2979 48
43 3097 6
43 3338 47
43 4992 10
43 5125 62
43 5412 4
43 6183 29
43 8269 35
43 9251 64
44 936 53
44 3389 35
44 9231 63
44 9645 1
45 966 57
45 1542 41
45 1982 63
45 2781 61
45 3084 60
45 5579 63
45 6086 25
45 9214 5
46 1749 28
46 3229 14
46 3689 2
46 6276 49
46 7256 61
46 7961 53
46 9070 63
47 3039 22
47 4157 7
48 1176 58
48 1369 40
48 2072 12
48 2435 35
48 2979 50
48 2998 44
48 3577 38
48 3983 49
48 5392 49
48 6153 3
48 6308 3
48 9334 15
49 22 65
49 894 43
49 1080 42
49 1463 37
49 2291 37
49 3924 4
49 4310 67
49 8310 1
49 9129 29
50 73 2
50 802 69
50 1098 13
50 1485 3
50 1716 48
50 2636 4
50 5846 27
50 7589 41
50 8130 25
50 8238 33
50 8386 29
50 9172 65
50 9816 15
50 9883 34
51 142 16
51 658 58
51 723 42
51 2128 35
51 3725 38
51 4608 44
51 4687 37
51 6640 23
51 6957 11
51 7653 51
51 7859 64
52 14 18
52 2976 18
52 3939 67
52 4227 15
52 4233 58
52 7169 66
52 7755 16
52 7859 57
52 8268 9
52 8292 59
52 9086 7
53 244 53
53 514 16
53 785 47
53 1778 8
53 5124 48
53 5368 47
53 6790 43
54 1691 33
54 4160 11
54 6985 29
54 7247 21
55 272 24
55 2022 34
55 2114 29
55 4292 67
55 5365 42
55 8143 22
56 1691 48
56 3443 23
56 4109 56
56 4448 65
56 4824 11
56 6919 54
56 7248 50
56 8511 68
57 1444 21
57 2353 37
57 3519 56
57 3849 1
57 4799 26
57 5599 62
57 5992 53
57 6103 12
57 8357 10
57 8367 31
57 8721 30
58 254 27
58 786 45
58 1145 62
58 1680 9
58 3285 44
58 4211 13
58 8828 32
58 9569 9
59 981 13
59 2187 29
59 2479 50
59 3252 34
59 4096 48
59 5752 43
59 6058 21
59 7767 43
59 8835 53
59 9127 45
59 9361 24
59 9712 51
60 654 36
60 1124 60
60 2618 8
60 2638 36
60 3343 56
60 9072 40
60 9647 59
61 457 67
61 1646 50
61 2310 61
61 2320 27
61 2454 7
61 6555 36
61 7179 19
61 7279 55
62 810 50
62 2645 2
62 3118 17
62 3542 58
62 3946 14
62 4166 17
62 4580 9
62 7695 19
62 8321 64
62 9280 51
62 9691 39
63 597 37
63 842 5
63 2519 54
63 3749 31
63 5541 27
63 6277 20
63 7578 61
63 7648 34
63 8524 27
63 8930 47
63 9718 5
64 427 56
64 832 15
64 1765 25
64 2911 47
64 3266 12
64 3957 2
64 4586 53
64 4873 30
64 5242 57
64 5575 34
64 8385 3
64 8696 4
64 9459 22
65 254 56
65 742 20
65 915 2
65 1135 5
65 2724 54
65 3310 23
65 7373 14
65 7597 22
65 9539 28
66 1069 67
66 2084 23
66 2574 54
66 4136 58
66 4402 15
66 4454 58
66 4963 55
66 6275 32
66 7022 33
66 7643 41
66 8435 18
66 8559 57
66 8980 19
67 1439 29
67 1701 30
67 2395 2
67 3786 59
67 4705 57
67 5106 6
67 5198 32
67 7038 60
67 7300 68
67 7334 18
67 7380 51
67 7786 69
67 8057 23
67 8693 35
67 9777 62
68 1504 7
68 2332 27
68 2522 60
68 3151 45
68 3300 21
68 3577 44
68 3857 4
68 5261 6
68 6114 4
68 6633 58
68 7943 37
68 8221 36
69 108 29
69 1348 25
69 1872 64
69 1974 18
69 2061 54
69 2606 64
69 2898 60
69 4714 14
69 5267 51
69 5433 65
69 7061 45
69 8827 12
69 8949 63
69 9041 62
69 9189 33
69 9742 33
70 754 55
70 1318 68
70 1495 26
70 2153 62
70 2749 65
70 3115 16
70 3188 8
70 4485 16
70 8230 31
71 14 11
71 717 61
71 1730 34
71 1924 68
71 2117 69
71 3469 40
71 3470 67
71 3495 24
71 3900 5
71 5314 16
71 6887 8
71 7319 39
71 7788 6
71 7978 21
71 8210 20
71 9456 41
71 9745 36
72 223 32
72 595 35
72 1339 29
72 3524 64
72 4224 38
72 5199 54
72 6463 33
72 7014 63
72 8526 17
72 9886 69
73 1445 10
73 2771 24
73 2966 55
73 4622 11
73 7627 34
73 7630 47
74 708 44
74 2317 3
74 3304 46
74 3477 54
74 4791 1
74 6035 69
74 6375 30
74 8738 56
74 9559 48
75 1464 68
75 1764 32
75 2365 68
75 3034 59
75 4028 3
75 4131 35
75 4359 61
75 6241 8
75 6525 34
75 7005 26
75 7193 46
75 7597 58
76 470 30
76 898 39
76 1854 6
76 3866 29
76 4341 19
76 4988 69
76 5192 14
76 6051 29
76 6812 34
76 8937 31
